"Username","Content","Numeric Sentiment","Sentiment","Favorites","Retweets","Creation Date"
"DaBabyDaBaby","😂😂😂 shawty really look like me too bruh. https://t.co/wnJLv5aPPC","0.4173","","31275","7388","2020-01-09T01:19:07"
"adam22","Bruh is racist https://t.co/Pxp8YxcTJQ","-0.6124","","8678","644","2020-01-07T17:31:24"
"ComplexSneakers","bruh 😂😂😂 https://t.co/qZBjy4ptAf","0","","8043","1680","2020-01-08T15:56:25"
"AntonioStevens7","bruh 😂😂😂 https://t.co/qZBjy4ptAf","0","","0","1680","2020-01-09T01:53:40"
"lil_flacoo","@YNPLPEY @JLaCocaina My shit dong be that bad bruh 😭","-0.7964","","0","0","2020-01-09T01:53:39"
"nodvnlie","😂😂😂 shawty really look like me too bruh. https://t.co/wnJLv5aPPC","0.4173","","0","7388","2020-01-09T01:53:39"
"_iAmBuck","I’m starting to realize human beings do the most bruh. https://t.co/gEZrqCBw0P","0","","0","0","2020-01-09T01:53:39"
"stapleton_niya","bruh chill thats DaManager 😂. https://t.co/AbU06JIvZo","0","","0","0","2020-01-09T01:53:39"
"NotThaDesigner","😂😂😂 you old now bruh. https://t.co/o4PZxZp8vV","0","","0","0","2020-01-09T01:53:39"
"hellokarinax","😂😂😂 shawty really look like me too bruh. https://t.co/wnJLv5aPPC","0.4173","","0","7388","2020-01-09T01:53:39"
"Pusshaaaa","😂😂😂 shawty really look like me too bruh. https://t.co/wnJLv5aPPC","0.4173","","0","7387","2020-01-09T01:53:39"
"jiminscuck","@chaenjk @cyb4rkoo BRUH","0","","0","0","2020-01-09T01:53:39"
"RossRossDaGod","😂😂😂 shawty really look like me too bruh. https://t.co/wnJLv5aPPC","0.4173","","0","7387","2020-01-09T01:53:38"
"_CaveManG_","😂😂😂 shawty really look like me too bruh. https://t.co/wnJLv5aPPC","0.4173","","0","7388","2020-01-09T01:53:38"
"princemyg","nah Bruh do not play with me like this https://t.co/dbwxD3IJh6","0.0165","","0","0","2020-01-09T01:53:38"
"wavykf","😂😂😂 shawty really look like me too bruh. https://t.co/wnJLv5aPPC","0.4173","","0","7387","2020-01-09T01:53:38"
"jeonwonlust","Bruh knowing that swing worked so hard to resume x1's activities and even trying their best to releasr x1's final song BUT REJECTED BY SOME AGENCIES really made me mad!! X1 is robbed, oneits are robbed. This is so unfair!!! https://t.co/8u5xf2TL3j","-0.9567","","0","444","2020-01-09T01:53:38"
"tonybrito97","😂😂😂 shawty really look like me too bruh. https://t.co/wnJLv5aPPC","0.4173","","0","7387","2020-01-09T01:53:38"
"santii333_","😂😂😂 shawty really look like me too bruh. https://t.co/wnJLv5aPPC","0.4173","","0","7388","2020-01-09T01:53:37"
"CaseyCo_","this took me the fuck out bruh😂😂😂 https://t.co/uL0C7vukvR","-0.5423","","0","0","2020-01-09T01:53:37"
"CoolAnya84","😂😂😂 shawty really look like me too bruh. https://t.co/wnJLv5aPPC","0.4173","","0","7388","2020-01-09T01:53:37"
"CartinoStassi","@DesBeezy Bruh😩😂😂😂","0","","0","0","2020-01-09T01:53:37"
"josemou76714374","@NepentheZ Bruh","0","","0","0","2020-01-09T01:53:37"
"SolarisKnight","SFV is just a four year long bruh moment","0","","0","1","2020-01-09T01:53:37"
"RizzyTaughtYou","😂😂😂 shawty really look like me too bruh. https://t.co/wnJLv5aPPC","0.4173","","0","7387","2020-01-09T01:53:37"
"BIGshERm5","😂😂😂 shawty really look like me too bruh. https://t.co/wnJLv5aPPC","0.4173","","0","7388","2020-01-09T01:53:36"
"ariyonmariee","😂😂😂 shawty really look like me too bruh. https://t.co/wnJLv5aPPC","0.4173","","0","7387","2020-01-09T01:53:36"
"thelifeofrhys","😂😂😂 shawty really look like me too bruh. https://t.co/wnJLv5aPPC","0.4173","","0","7387","2020-01-09T01:53:36"
"s_salvo_","bruh kahit maputi sounds so good on the uke 😫😫","0.5777","","0","0","2020-01-09T01:53:36"
"VLONEPEEZY","😂😂😂 shawty really look like me too bruh. https://t.co/wnJLv5aPPC","0.4173","","0","7387","2020-01-09T01:53:36"
"christianh3art","😂😂😂 shawty really look like me too bruh. https://t.co/wnJLv5aPPC","0.4173","","0","7388","2020-01-09T01:53:36"
